nickname,name,team
Fearoth,Enzo Mestari,Asterion
Xaisty,Hugo Lindvall,Asterion
buue,Netanel Turnpu,Asterion
oW,Oliver Winther,Asterion
RandomRambo,Søren Jensen,Asterion
SolEk,Manuel Zeindler,Berzerk
tahsiN,Tahsin Sarikaya,Berzerk
dav1dK,David Konkol,Berzerk
Badshah,Volkan Tuna,Berzerk
syken,Thilo Phan,Berzerk
kRYSTAL,Kevin Amend,Sprout
innocent,Paweł Mocek,Sprout
denis,Denis Howell,Sprout
Spiidi,Timo Richter,Sprout
NaToSaphiX,Niels Christian Sillassen,Sprout
MiGHTYMAX,Max Heath,Team Endpoint
weber,Brandon Weber,Team Endpoint
Puls3,Reece Marrs,Team Endpoint
Luzuh,Joe Loose,Team Endpoint
AaroN,Aaron Hemmings,Team Endpoint
Monu,Fréderic Dewever,Defusekids
v1N,Vincent Brouwer,Defusekids
g1do,Gido Brouwer,Defusekids
Clash,Steven Fekken,Defusekids
CRUC1AL,Joey Steusel,Defusekids
wallax,Flavien Lebreton,against All authority
MetaL,Benoit Guelette,against All authority
waneG,Benjamin Taquet,against All authority
ZywOo,Mathieu Herbaut,against All authority
nonick,Matthéo Canei,against All authority
Zulu,Richard Wood,nerdRage
Swaggy,Kyle Wilson,nerdRage
wwww,Michael Sandvik,nerdRage
Naet,Nathan Bowman,nerdRage
TotunG,Dean Grealish,nerdRage
syrsoN,Florian Rische,ALTERNATE aTTaX
ecfN,Lukas Kauer,ALTERNATE aTTaX
stfN,Stefan Seier,ALTERNATE aTTaX
HUNDEN,Nicolai Petersen,ALTERNATE aTTaX
k1to,Nils Gruhne,ALTERNATE aTTaX
arcane,Nick van der Horst,AT Gaming
Clash,Steven Fekken,AT Gaming
radicaL3i,Moritz van der Lugt,AT Gaming
michiel^,Michiel Vervaart,AT Gaming
Imprez,Victor Walsteijn,AT Gaming
gob b,Fatih Dayik,BIG
tabseN,Johannes Wodarz,BIG
nex,Johannes Maget,BIG
tiziaN,Tizian Felbusch,BIG
luckeRRR (Trial),Niels Jasiek,BIG
Andyy,Andreas Schäfer,BLUEJAYS
cello,Marcel Roode,BLUEJAYS
ChrisWa,Christian Walter,BLUEJAYS
croic,Tilman Schöne,BLUEJAYS
d1rbY,Jonathan Dörre,BLUEJAYS
CaPPiNg!,Kristinn Andri Jóhannesson,CAZ eSports
kruzer,Kristján Finnsson,CAZ eSports
ofvirkur,Ólafur Gudmundsson,CAZ eSports
peterr,Pétur Helgason,CAZ eSports
th0rsteinnf,Þorsteinn Friðfinnsson,CAZ eSports
LiamjS,Liam Scotter,CeX
resu,Andrew Robson,CeX
Samwell,Sam Reynolds,CeX
fzaN,Faizan Ali,CeX
em1n,Said Emin Majrbekov,CeX
arken,Oscar Tjernlund,DeadPixels
schuster,David Schuster,DeadPixels
WLTR,Alexander Walter,DeadPixels
ScrunK,Robin Röpke,DIVIZON
alexRr,Alexander Frisch,DIVIZON
LyGHT,Jan Patocka,DIVIZON
PATriCK,Patrick Jan Zaremba,DIVIZON
chrissK,Christoph Kröll,DIVIZON
Stefan,Stefan Humplmair,EnRo GRIFFINS
kuleN,Kevin Alstede,EnRo GRIFFINS
sLoNi,Michael Humplmair,EnRo GRIFFINS
timbow,Tim Rosenbecker,EnRo GRIFFINS
PYNED,Patrick de Sousa Batista,EnRo GRIFFINS
crisby,Christian Schmitt,EURONICS Gaming
kressy,Marko Dordevic,EURONICS Gaming
kzy,Oliver Maximilian Heck,EURONICS Gaming
faveN,Josef Baumann,EURONICS Gaming
mirbit,Sabit Coktasar,EURONICS Gaming
mrtn (Backup),Martin Wrodarczyk,EURONICS Gaming
Schmiddii,Fynn M.,FAB Games eSport
Josh,Joshua L.,FAB Games eSport
TheSiver,Julian F.,FAB Games eSport
CoNCePt,Jan F.,FAB Games eSport
BeneBRO,Benedict B.,FAB Games eSport
shox,Richard Papillon,G2 Esports
bodyy,Alexandre Pianaro,G2 Esports
NBK-,Nathan Schmitt,G2 Esports
kennyS,Kenny Schrub,G2 Esports
apEX,Dan Madesclaire,G2 Esports
chrisJ,Chris de Jong,mousesports
oskar,Tomáš Šťastný,mousesports
ropz,Robin Kool,mousesports
suNny,Miikka Kemppi,mousesports
STYKO,Martin Styk,mousesports
Zulu,Richard Wood,nerdRage
Swaggy,Kyle Wilson,nerdRage
wwww,Michael Sandvik,nerdRage
Naet,Nathan Bowman,nerdRage
TotunG,Dean Grealish,nerdRage
J0hnny,Marcus Gabriel,Planetkey Dynamics
jenson,Jens Kappes,Planetkey Dynamics
r0bs3n,Robin Stephan,Planetkey Dynamics
am0,Ammar Cakmak,Planetkey Dynamics
stavros,Dimitrios Smoilis,Planetkey Dynamics
dominikkk,Dominik Aberle,Playing Ducks
fleksy,Andre Lorenz,Playing Ducks
Zarin,Devin Döhmen,Playing Ducks
Happy,Vincent Cervoni,Team EnVyUs
RpK,Cédric Guipouy,Team EnVyUs
ScreaM,Adil Benrlitom,Team EnVyUs
kioShiMa,Fabien Fiey,Team EnVyUs
hAdji,Ali Haïnouss,Team EnVyUs
AaroN,Aaron Hemmings,Team Infused
MCK,Michael McDonald,Team Infused
fre1,Aaron Frei,Team Infused
ZED,George Bear,Team Infused
Danceyz,Zaki Dance,Team Infused
to1nou,Antoine Pirard,Team LDLC.com
ALEX,Alexander McMeekin,Team LDLC.com
Maniac,Mathieu Quiquerez,Team LDLC.com
DEVIL,Timothée Démolon,Team LDLC.com
logaN,Logan Corti,Team LDLC.com
DuDe,Dustin Großmann,PANTHERS Gaming
mantuu,Mateusz Wilczewski,PANTHERS Gaming
HighKitty,Fabian Schultze,PANTHERS Gaming
Bernard,Bernardus Stornebrink,PANTHERS Gaming
OKOLICIOUZ,Michał Głowaty,PANTHERS Gaming
cover,Christopher Donnelson,Vination eSports e.V.
bmd,Benedikt Hammerschmied,Vination eSports e.V.
wretch,Philipp Seppelt,Vination eSports e.V.
deca,Dominik Karweg,Vination eSports e.V.
lioN-,Leonid Hartmann,Vination eSports e.V.
dan1el,Daniel Würth,Vination eSports e.V.
chouca,Maxime V.,War Legend
NPLS,Jérôme C.,War Legend
nOxii,Dylan S. l,War Legend
sab,Kevin B.,War Legend
TiduS,Guillaume  Trinh,War Legend
bENNY,Mattias Rosback,Crowns Esports Club
darti,Joachim Fornstedt,Crowns Esports Club
decent,Samuel Oldenburg,Crowns Esports Club
xelos,Jerry Råberg,Crowns Esports Club
BENDJI,Benjamin Söderena,Team Singularity
Sayf,Saif Jibraeel,Team Singularity
BARBARR,André Möller,Team Singularity
HugoXD,Hugo Hallgren,Team Singularity
RuStY,Alfred Karlsson,Team Singularity
Mattye,Matilde Wiik,Planet Odd Female
L.K.S,Lizette Scheich,Planet Odd Female
Hedje,Hege Botnen,Planet Odd Female
Missa,Meyssa Bellouati,Planet Odd Female
Rambolina,Matilda Gustavsson,Planet Odd Female
nicci,Nicoline Svenssoni,Planet Odd Female
stanislaw,Peter Jarguz,OpTic Gaming
ShahZaM,Shahzeeb Khan,OpTic Gaming
k0nfig,Kristian Wienecke,OpTic Gaming
cajunb,René Borg,OpTic Gaming
gade (Loan),Nicklas Gade,OpTic Gaming
dev1ce,Nicolai Reedtz,Astralis
dupreeh,Peter Rothmann,Astralis
Xyp9x,Andreas Højsleth,Astralis
gla1ve,Lukas Rossander,Astralis
Magisk,Emil Reif,Astralis
COSMEEEN,Cosmin-Mihai Butuc,Epsilon eSports
smooya,Owen Butterfield,Epsilon eSports
robiin,Robin Sjögren,Epsilon eSports
tsack,Kostas Theodoropoulos,Epsilon eSports
Surreal,Kia Man,Epsilon eSports
rain,Håvard Nygaard,FaZe Clan
karrigan,Finn Andersen,FaZe Clan
NiKo,Nikola Kovač,FaZe Clan
GuardiaN,Ladislav Kovács,FaZe Clan
olofmeister,Olof Kajbjer,FaZe Clan
KRIMZ,Freddy Johansson,Fnatic
JW,Jesper Wecksell,Fnatic
flusha,Robin Rönnquist,Fnatic
Golden,Maikil Selim,Fnatic
Lekr0,Jonas Olofsson,Fnatic
twist,Simon Eliasson,GODSENT
disco doplan,Joakim Gidetun,GODSENT
freddieb,Fredrik Buö,GODSENT
hampus,Hampus Poser,GODSENT
Brollan,Ludvig Brolin,GODSENT
MODDII,Andreas Fridh,Heroic
Snappi,Marco Pfeiffer,Heroic
niko,Nikolaj Kristensen,Heroic
JUGi,Jakob Hansen,Heroic
RUBINO,Ruben Villaroel,Heroic
hechtikal,Henric Öhlund,Iwku Gaming
bustaN,Casper Bartoldsson,Iwku Gaming
CH,Calle Helmersson,Iwku Gaming
no1,Josef Söderlind,Iwku Gaming
Thefqzo,Philip Björkman,Iwku Gaming
f0rest,Patrik Lindberg,Ninjas in Pyjamas
GeT_RiGhT,Christopher Alesund,Ninjas in Pyjamas
draken,William Sundin,Ninjas in Pyjamas
REZ,Fredrik Sterner,Ninjas in Pyjamas
dennis,Dennis Edman,Ninjas in Pyjamas
BERRY,Danny Krüger,No Problem!
Basso,Sebastian Aagaard,No Problem!
holzt,Nicolaj Holst,No Problem!
KS,Kevin Svenningsen,No Problem!
MSL,Mathias Lauridsen,North
aizy,Philip Aistrup,North
valde,Valdemar Bjørn,North
mertz,Daniel Mertz,North
Kjaerbye,Markus Kjærbye,North
Driiveri,Waltteri Iso-Anttila,Paranoia eSports
mikoz,Miko Tiainen,Paranoia eSports
miqsu,Mikael Nieminen,Paranoia eSports
pheini,Daniel Nyholm,Paranoia eSports
snobi,Topi,Paranoia eSports
tofi,Topi Heinonen,RCTIC eSports
t0xic,Niko Martin,RCTIC eSports
b3ltsi,Toni Anttila,RCTIC eSports
sLowi,Olli Pitkänen,SkitLite
tofi,Topi Heinonen,SkitLite
MISKA,Mika Raitila,SkitLite
pheini,Daniel Nyholm,SkitLite
Tunkkis,Juho Hänninen,SkitLite
Console,Mads Skovby,Tricked Esport
Inzta,Peter Kragelund,Tricked Esport
Lukki,Lucas Pilheden,Tricked Esport
Ryxxo,Thomas Nielsen,Tricked Esport
AnJ,Allan Jensen,Tricked Esport
FliP1,Mikkel Gelver,Wizards e-Sports Club
maektig,Adam Widell,Wizards e-Sports Club
goffeee,Filip Gauffin,Wizards e-Sports Club
windster,Marcus Andersson,Xapso
waver,Anton Wiberg,Xapso
cozman,Jesper Östlun,Xapso
Mackkee,Marcus Eriksson Gonzalez,Xapso
MITZAN,Simon Westerling,Xapso
PAINT,Adam Fjellum,Kingpins Esports
aNdz,Anders Kjær,Kingpins Esports
DaY,Jon Thomas Rudstrøm,Kingpins Esports
Mystic,Kristoffer Michelsen,Kingpins Esports
zEVES,Morten Vollan,NOREG
cromen,Jørgen Robertsen,NOREG
Marcelious,Ole Kristian Langan,NOREG
nafu,Even Leirvik,NOREG
akez,Kristian Kornbakk,NOREG
matty,Mateusz Kołodziejczyk,Izako Boars
