team,tournament
Cloud9,ESL Pro League Season 6 - North America
compLexity Gaming,ESL Pro League Season 6 - North America
Counter Logic Gaming,ESL Pro League Season 6 - North America
Immortals,ESL Pro League Season 6 - North America
Team Liquid,ESL Pro League Season 6 - North America
Luminosity Gaming,ESL Pro League Season 6 - North America
Misfits,ESL Pro League Season 6 - North America
NRG Esports,ESL Pro League Season 6 - North America
OpTic Gaming,ESL Pro League Season 6 - North America
Renegades,ESL Pro League Season 6 - North America
SK Gaming,ESL Pro League Season 6 - North America
Splyce,ESL Pro League Season 6 - North America
Ghost Gaming,ESL Pro League Season 6 - North America
Rogue,ESL Pro League Season 6 - North America
Astralis,ESL Pro League Season 6 - Europe
Team EnVyUs,ESL Pro League Season 6 - Europe
FaZe Clan,ESL Pro League Season 6 - Europe
Fnatic,ESL Pro League Season 6 - Europe
G2 Esports,ESL Pro League Season 6 - Europe
Heroic,ESL Pro League Season 6 - Europe
Team LDLC.com,ESL Pro League Season 6 - Europe
mousesports,ESL Pro League Season 6 - Europe
Natus Vincere,ESL Pro League Season 6 - Europe
Ninjas in Pyjamas,ESL Pro League Season 6 - Europe
North,ESL Pro League Season 6 - Europe
GODSENT,ESL Pro League Season 6 - Europe
HellRaisers,ESL Pro League Season 6 - Europe
BIG,ESL Pro League Season 6 - Europe
Astralis,EPICENTER 2017
G2 Esports,EPICENTER 2017
Gambit Esports,EPICENTER 2017
North,EPICENTER 2017
SK Gaming,EPICENTER 2017
Virtus.pro,EPICENTER 2017
FaZe Clan,EPICENTER 2017
Team Liquid,EPICENTER 2017
Astralis,ELEAGUE CS:GO Premier 2017
Cloud9,ELEAGUE CS:GO Premier 2017
FaZe Clan,ELEAGUE CS:GO Premier 2017
Fnatic,ELEAGUE CS:GO Premier 2017
G2 Esports,ELEAGUE CS:GO Premier 2017
mousesports,ELEAGUE CS:GO Premier 2017
Natus Vincere,ELEAGUE CS:GO Premier 2017
Ninjas in Pyjamas,ELEAGUE CS:GO Premier 2017
North,ELEAGUE CS:GO Premier 2017
SK Gaming,ELEAGUE CS:GO Premier 2017
Virtus.pro,ELEAGUE CS:GO Premier 2017
Team EnVyUs,ELEAGUE CS:GO Premier 2017
Heroic,ELEAGUE CS:GO Premier 2017
Immortals,ELEAGUE CS:GO Premier 2017
Team Liquid,ELEAGUE CS:GO Premier 2017
Renegades,ELEAGUE CS:GO Premier 2017
Astralis,ESL One: New York 2017
FaZe Clan,ESL One: New York 2017
Team Liquid,ESL One: New York 2017
Natus Vincere,ESL One: New York 2017
SK Gaming,ESL One: New York 2017
Virtus.pro,ESL One: New York 2017
Team EnVyUs,ESL One: New York 2017
Cloud9,ESL One: New York 2017
Fan Team A,ESL One: New York 2017
Fan Team B,ESL One: New York 2017
BIG,ESG Tour Mykonos 2017
Gambit Esports,ESG Tour Mykonos 2017
Heroic,ESG Tour Mykonos 2017
Team Liquid,ESG Tour Mykonos 2017
mousesports,ESG Tour Mykonos 2017
SK Gaming,ESG Tour Mykonos 2017
Virtus.pro,ESG Tour Mykonos 2017
Team EnVyUs,ESG Tour Mykonos 2017
Astralis,DreamHack Masters Malmö 2017
Cloud9,DreamHack Masters Malmö 2017
FaZe Clan,DreamHack Masters Malmö 2017
Fnatic,DreamHack Masters Malmö 2017
G2 Esports,DreamHack Masters Malmö 2017
Gambit Esports,DreamHack Masters Malmö 2017
Immortals,DreamHack Masters Malmö 2017
Natus Vincere,DreamHack Masters Malmö 2017
Ninjas in Pyjamas,DreamHack Masters Malmö 2017
North,DreamHack Masters Malmö 2017
