name,price,date,winner
ESL Pro League Season 6 - North America,125000,2017-08-22,OpTic Gaming
ESL Pro League Season 6 - Europe,125000,2017-08-22,Fnatic
EPICENTER 2017,490000,2017-10-24,SK Gaming
ELEAGUE CS:GO Premier 2017,1000000,2017-09-08,FaZe Clan
ESL One: New York 2017,250000,2017-09-15,FaZe Clan
ESG Tour Mykonos 2017,200000,2017-09-07,mousesports
DreamHack Masters Malmö 2017,250000,2017-08-30,G2 Esports
ESL One: Cologne 2017,250000,2017-07-04,SK Gaming
Esports Championship Series Season 3 - Finals,660000,2017-06-23,SK Gaming
ESL Pro League Season 5: Finals,750000,2017-05-30,G2 Esports
ESL Pro League Season 5 - North America,125000,2017-02-07,SK Gaming
ESL Pro League Season 5 - Europe,125000,2017-02-07,North
Intel Extreme Masters Season XII - Sydney,200000,2017-05-03,SK Gaming
StarLadder i-League StarSeries Season 3,300000,2017-04-04,FaZe Clan
Intel Extreme Masters Season XI World Championship,250000,2017-03-01,Astralis
DreamHack Masters Las Vegas 2017,450000,2017-02-15,Virtus.pro
World Electronic Sports Games 2016,1500000,2017-01-12,Team EnVyUs
Esports Championship Series Season 2 - Finals,660000,2016-12-09,Astralis
ELEAGUE Season 2,1100000,2016-10-21,OpTic Gaming
DreamHack Open Winter 2016,100000,2016-11-24,Gambit Esports
Intel Extreme Masters Season XI Oakland,300000,2016-11-16,Ninjas in Pyjamas
ESL Pro League Season 4: Finals,600000,2016-10-26,Cloud9
EPICENTER 2016,490000,2016-10-17,Team Dignitas
ESL Pro League Season 4 - North America,75000,2016-08-17,Cloud9
ESL Pro League Season 4 - Europe,75000,2016-08-17,Fnatic
ESL One: New York 2016,250000,2016-09-30,Natus Vincere
DreamHack Open Bucharest 2016,100000,2016-09-16,Virtus.pro
StarLadder i-League StarSeries Season 2,300000,2016-09-07,Ninjas in Pyjamas
ELEAGUE Season 1,1400000,2016-05-24,Virtus.pro
Esports Championship Series Season 1 - Finals,765000,2016-06-24,G2 Esports
DreamHack Open Summer 2016,100000,2016-06-18,Immortals
StarLadder i-League Invitational #1,100000,2016-05-19,Virtus.pro
ESL Pro League Season 3: Finals,512000,2016-05-11,Luminosity Gaming
CEVO Pro League Season 9,125000,2016-04-28,Tempo Storm
ESL Pro League Season 3 - Europe,119000,2016-02-09,Ninjas in Pyjamas
ESL Pro League Season 3 - North America,119000,2016-02-09,Luminosity Gaming
DreamHack Masters Malmö 2016,250000,2016-04-12,Ninjas in Pyjamas
Intel Extreme Masters Season X World Championship,250000,2016-03-02,Fnatic
Global eSports Cup - Season 1,200000,2016-02-04,Team EnVyUs
DreamHack Open Leipzig 2016,100000,2016-01-22,Natus Vincere
StarLadder i-League StarSeries XIV,200000,2016-01-13,Fnatic
ESL ESEA Pro League Season 2: Finals,250000,2015-12-10,Fnatic
Fragbite Masters Season 5,500000,2015-12-04,Fnatic
FACEIT 2015 Stage 3 Finals at DreamHack Open Winter 2015,250000,2015-11-26,Fnatic
Intel Extreme Masters Season X San Jose,125000,2015-11-21,Natus Vincere
ESL ESEA Pro League Season 2 - North America,125000,2015-09-15,Team Liquid
